cod_sku,denumire,categorie,producator,garantie_luni,status,depozit,oras_depozit,tara_depozit,cantitate,prag_minim,socket,memory_type,form_factor,interface,storage_form
-AMD-RYZEN-7-9800X3D,AMD Ryzen 7 9800X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-7800X3D,AMD Ryzen 7 7800X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-7600X,AMD Ryzen 5 7600X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-9600X,AMD Ryzen 5 9600X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-7700X,AMD Ryzen 7 7700X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-9950X3D,AMD Ryzen 9 9950X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5500,AMD Ryzen 5 5500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-9700X,AMD Ryzen 7 9700X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5600X,AMD Ryzen 5 5600X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5600,AMD Ryzen 5 5600,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-5800X,AMD Ryzen 7 5800X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-14700K,Intel Core i7-14700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-14900K,Intel Core i9-14900K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-12400F,Intel Core i5-12400F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-3600,AMD Ryzen 5 3600,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-7600,AMD Ryzen 5 7600,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-5700X,AMD Ryzen 7 5700X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-7900X,AMD Ryzen 9 7900X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-9900X,AMD Ryzen 9 9900X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-14600K,Intel Core i5-14600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-7-2,Intel Core Ultra 7 265K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-5700X3D,AMD Ryzen 7 5700X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-14400F,Intel Core i5-14400F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-9950X,AMD Ryzen 9 9950X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-7500F,AMD Ryzen 5 7500F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-5800XT,AMD Ryzen 7 5800XT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-9-2,Intel Core Ultra 9 285K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-12700K,Intel Core i7-12700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-7600X3D,AMD Ryzen 5 7600X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5600G,AMD Ryzen 5 5600G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-7700,AMD Ryzen 7 7700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-13400F,Intel Core i5-13400F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-12700K,Intel Core i7-12700KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-5900X,AMD Ryzen 9 5900X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-3700X,AMD Ryzen 7 3700X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-12600K,Intel Core i5-12600KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-8400F,AMD Ryzen 5 8400F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-8500G,AMD Ryzen 5 8500G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-THREADRIPPER-399,AMD Threadripper 3990X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-12600K,Intel Core i5-12600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-5700G,AMD Ryzen 7 5700G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-5950X,AMD Ryzen 9 5950X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-5800X3D,AMD Ryzen 7 5800X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-12100F,Intel Core i3-12100F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-7950X,AMD Ryzen 9 7950X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-14600K,Intel Core i5-14600KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-4500,AMD Ryzen 5 4500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-8600G,AMD Ryzen 5 8600G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-5700,AMD Ryzen 7 5700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-14700K,Intel Core i7-14700KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-12900K,Intel Core i9-12900K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-7-2,Intel Core Ultra 7 265KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-9900X3D,AMD Ryzen 9 9900X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-7950X3D,AMD Ryzen 9 7950X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-8700G,AMD Ryzen 7 8700G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-14900K,Intel Core i9-14900KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-13700K,Intel Core i7-13700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-10400F,Intel Core i5-10400F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-8700F,AMD Ryzen 7 8700F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-2600,AMD Ryzen 5 2600,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-14900K,Intel Core i9-14900KS,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5600GT,AMD Ryzen 5 5600GT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-13600K,Intel Core i5-13600KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-5900XT,AMD Ryzen 9 5900XT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-14700F,Intel Core i7-14700F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-7900,AMD Ryzen 9 7900,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-9700K,Intel Core i7-9700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-8700K,Intel Core i7-8700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-3-3200G,AMD Ryzen 3 3200G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-3400G,AMD Ryzen 5 3400G,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-13900K,Intel Core i9-13900K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-12400,Intel Core i5-12400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-3600X,AMD Ryzen 5 3600X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-9900K,Intel Core i9-9900K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-2700X,AMD Ryzen 7 2700X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-14100F,Intel Core i3-14100F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-12900K,Intel Core i9-12900KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5600XT,AMD Ryzen 5 5600XT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-13600K,Intel Core i5-13600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-7700K,Intel Core i7-7700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-3-4100,AMD Ryzen 3 4100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-5-2,Intel Core Ultra 5 245K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-3-3100,AMD Ryzen 3 3100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-9400F,Intel Core i5-9400F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-13700K,Intel Core i7-13700KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-10700K,Intel Core i7-10700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-14400,Intel Core i5-14400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-3900X,AMD Ryzen 9 3900X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-6700K,Intel Core i7-6700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-9-7900X3D,AMD Ryzen 9 7900X3D,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-11400F,Intel Core i5-11400F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-THREADRIPPER-397,AMD Threadripper 3970X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-7-3800X,AMD Ryzen 7 3800X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-2600X,AMD Ryzen 5 2600X,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-12700F,Intel Core i7-12700F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-9600K,Intel Core i5-9600K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-ULTRA-5-2,Intel Core Ultra 5 225F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-11700K,Intel Core i7-11700K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-12100,Intel Core i3-12100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-10400,Intel Core i5-10400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-8700,Intel Core i7-8700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-14100,Intel Core i3-14100,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I3-13100F,Intel Core i3-13100F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-PENTIUM-E5700,Intel Pentium E5700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-10900K,Intel Core i9-10900K,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-13400,Intel Core i5-13400,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-7700,Intel Core i7-7700,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I7-13700F,Intel Core i7-13700F,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I5-6500,Intel Core i5-6500,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-AMD-RYZEN-5-5500GT,AMD Ryzen 5 5500GT,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
-INTEL-CORE-I9-13900K,Intel Core i9-13900KF,CPU,,24,ACTIV,Central,Bucuresti,RO,10,2,,,,,
